Ozone_mean,Ozone_max,Ozone_95,PM25_mean,PM25_first_max,PM25_95,CO_mean,CO_max,CO_95,NO2_mean,NO2_max,NO2_95
0.049407,0.084,0.067,9.481488,52.0,20.0,0.307148,2.9330000000000003,0.64,17.082912999999998,46.1,34.4
0.045986,0.085,0.06100000000000001,7.136602000000001,191.0,16.0,0.236091,24.6,0.556,16.339665,52.1,33.2
0.046680000000000006,0.1,0.065,17.672727,424.0,90.2,0.307345,2.3,0.6000000000000001,14.725641,44.1,31.7
0.042208999999999004,0.113,0.06,12.341346000000001,50.6,33.1,0.677032,3.1,1.7000000000000002,31.286908,74.0,53.0
0.040227,0.102,0.069,13.08871,35.0,24.8,0.40081300000000003,2.5,1.1,14.779318,69.0,35.0
0.040740000000000005,0.127,0.07400000000000001,9.569903,41.5,18.5,0.375027,0.9,0.6000000000000001,14.394465,64.0,33.0
0.039619,0.08600000000000001,0.062,8.090085,35.5,17.400000000000002,0.368979,2.464,1.128,26.281461,61.0,45.8
0.049373,0.10099999999999999,0.07400000000000001,9.384746,38.4,22.7,0.375361,2.587,1.048,24.772394,67.2,43.8
0.046446,0.091,0.068,10.6,37.9,28.5,0.41158199999999995,3.1,1.2,26.980791,58.7,49.2
0.045971,0.084,0.067,9.252101,112.0,24.0,0.708681,1.9,1.2,30.640984000000003,64.9,46.2
0.04844,0.096,0.07200000000000001,9.114127,105.0,16.5,0.328115,1.953,0.8380000000000001,25.25,52.2,41.8
0.044864,0.121,0.068,10.848587,129.0,31.6,0.352446,2.145,1.0170000000000001,23.452507,67.5,45.0
0.053745999999999,0.11199999999999999,0.08600000000000001,13.769091,64.6,32.6,0.309017,1.2,0.6000000000000001,40.908759,82.0,65.0
0.050476,0.10099999999999999,0.083,14.494118,55.3,37.6,0.271401,2.1,0.6000000000000001,38.434174,95.0,63.0
0.061230999999999,0.129,0.102,14.876724,50.0,37.4,0.234208,1.6,0.5,35.269663,80.0,55.0
0.059083000000000004,0.132,0.091,14.1925,31.7,29.4,0.510532,2.3,1.1,16.714620999999998,64.0,38.0
0.05954500000000001,0.122,0.095,12.54569,41.2,27.4,0.621825,4.2,1.9,27.163366,63.0,45.0
0.045383,0.078,0.067,10.758567,37.9,24.6,1.184885999999999,17.1,2.9,56.303571,95.0,89.0
0.048020000000000014,0.083,0.068,10.248529,42.5,23.0,0.7882239999999989,8.5,1.9,35.366935,159.0,56.0
0.049668000000000004,0.10800000000000001,0.076,10.442462,33.4,22.6,0.7876380000000001,6.7,1.8,56.518116000000006,126.0,93.0
0.043524,0.067,0.062,9.380386,40.4,18.3,0.728371,8.700000000000001,1.6,42.358166,115.0,62.0
0.05064,0.092,0.069,8.979941,37.8,17.0,0.625544,4.4,1.2,47.515337,136.0,65.0
0.045645,0.068,0.06,7.672777999999999,29.5,14.4,0.492278,6.9,1.1,30.840816,83.0,56.0
0.054886000000000004,0.095,0.077,7.1417910000000004,30.3,13.9,0.305678,2.45,0.76,24.427862,94.0,49.0
0.049040999999999,0.08,0.066,14.216883,73.8,31.0,0.529574,2.91,1.18,53.251647999999996,94.9,69.5
0.0555,0.08700000000000001,0.07300000000000001,9.563535,67.3,22.3,0.534266,3.38,1.23,19.133025,83.7,43.7
0.047750999999999,0.08800000000000001,0.07100000000000001,8.877965999999997,73.10000000000002,19.9,0.493486,2.86,1.0,34.999435,92.9,53.6
0.057984,0.128,0.091,12.930693,87.3,22.6,1.374452,9.0,2.6,22.668492999999998,54.0,42.0
0.059171999999999,0.11,0.095,13.498538,47.1,25.6,1.1883620000000001,5.8,2.4,24.938053,68.0,48.0
0.054044999999999004,0.126,0.09,11.893155,35.4,21.2,1.147535,5.8,2.3,24.925207999999998,60.0,45.0
0.054116,0.109,0.083,10.745325999999999,34.5,19.4,1.007116,5.3,2.1,23.776119,60.0,45.0
0.050261,0.11199999999999999,0.085,10.510756,35.6,17.6,0.967148,7.3,2.0,21.878453,58.0,39.0
0.056079,0.11,0.08700000000000001,11.471976,36.2,19.6,1.123432,4.5,2.0,20.808823999999998,49.0,39.0
0.055915999999999993,0.111,0.08800000000000001,11.11408,44.1,19.8,1.028278,4.2,1.8,17.559889000000002,48.0,34.0
0.05821499999999901,0.11699999999999999,0.08700000000000001,10.108163000000001,23.8,18.3,1.04288,4.1,1.8,18.887363,89.0,36.0
0.053514,0.123,0.085,10.516364,137.3,21.5,0.9132739999999989,4.0,1.7000000000000002,17.208219,49.0,32.0
0.049643,0.111,0.076,8.939286,21.0,15.9,0.9034789999999989,2.6,1.5,15.747922,46.0,32.0
