Ozone_mean,Ozone_max,Ozone_95,PM25_mean,PM25_first_max,PM25_95
0.051949999999999004,0.091,0.07300000000000001,11.422,27.6,22.5
0.048909999999999,0.081,0.068,10.730357,21.4,20.2
0.043739,0.07,0.06100000000000001,9.337255,22.3,15.7
0.046583,0.07100000000000001,0.063,9.6375,20.0,17.400000000000002
0.044462999999999,0.085,0.064,9.055833,23.2,17.5
0.048151,0.081,0.068,8.656896999999999,22.8,14.9
0.044992,0.065,0.059000000000000004,8.980342,28.2,15.7
0.065626,0.116,0.092,18.546988,49.5,35.4
0.055064999999999004,0.107,0.08199999999999999,15.629629999999999,38.2,30.1
0.054716,0.108,0.08900000000000001,13.109523999999999,36.1,27.8
0.056832000000000014,0.099,0.08199999999999999,14.39,33.7,28.5
0.053029,0.098,0.077,12.462712,30.5,23.1
0.056569999999999,0.101,0.08199999999999999,13.499107,49.5,25.9
0.05824500000000001,0.102,0.08,13.308620999999999,33.0,26.1
0.059281999999999,0.10300000000000001,0.081,14.383470999999998,42.5,30.5
0.051240999999999,0.08800000000000001,0.07100000000000001,11.373728999999999,29.4,21.9
0.045721,0.078,0.064,12.121258,39.1,24.1
0.053620000000000015,0.084,0.075,11.237346,56.0,23.0
0.052423,0.095,0.077,10.478150999999999,24.8,19.1
0.050707999999999004,0.09,0.07300000000000001,8.908263999999997,20.7,14.3
0.046498000000000005,0.07400000000000001,0.062,8.551639,17.2,14.8
0.046701,0.083,0.064,9.360833,24.4,17.5
0.04502,0.08700000000000001,0.064,8.791667,31.5,16.5
0.049746,0.077,0.068,7.365,19.0,11.4
0.046168999999999,0.07,0.062,7.638261,18.7,14.8
0.044612,0.09,0.068,15.361111,34.5,27.9
0.049845,0.09,0.068,16.208621,46.8,31.6
0.051682000000000006,0.10300000000000001,0.076,15.701680999999999,47.0,30.5
0.056187,0.094,0.078,15.693332999999999,31.7,28.2
0.054779999999999,0.094,0.075,16.028036999999998,78.9,37.4
0.04962,0.08600000000000001,0.07200000000000001,13.21519,43.5,27.4
0.043543,0.079,0.063,11.378447999999999,28.2,24.5
0.051101999999999,0.083,0.07,13.067227,32.8,23.8
0.051004,0.092,0.07200000000000001,12.424576,33.4,23.8
0.048246,0.078,0.068,11.433333,27.2,23.0
0.044635,0.076,0.062,9.968033,22.9,20.1
0.045287,0.079,0.062,11.076189999999999,22.5,18.2
0.043147000000000005,0.083,0.063,9.930769,21.5,17.6
0.047923999999999,0.101,0.066,9.219481,26.5,17.400000000000002
0.045176999999999,0.07200000000000001,0.062,13.721672,46.0,25.0
0.065211999999999,0.14500000000000002,0.108,20.260976,44.0,35.2
0.06198299999999901,0.139,0.101,16.54375,42.1,31.5
0.056539,0.134,0.091,14.72437,31.4,27.9
0.057657000000000014,0.127,0.096,13.682758999999999,35.2,28.8
0.055423,0.1,0.08700000000000001,14.365385,43.4,29.4
0.053841,0.109,0.08600000000000001,13.873109,36.1,30.5
0.057949999999999,0.113,0.091,14.893277,48.9,28.1
0.061078,0.112,0.093,14.103279,33.2,26.8
0.059641,0.125,0.09,14.9375,49.6,32.1
0.053037,0.10300000000000001,0.078,11.562712,33.6,19.9
0.045935,0.08900000000000001,0.068,9.805983,24.0,19.6
0.055304,0.107,0.078,10.944761999999999,25.2,18.6
0.053256,0.10400000000000001,0.08,10.823139999999999,29.2,19.7
0.052052999999999,0.1,0.076,9.480702,21.5,16.7
0.046995999999999004,0.081,0.069,8.989075999999997,18.7,15.1
0.047167999999999,0.08600000000000001,0.066,9.746939,26.6,16.9
0.046253999999999004,0.091,0.07100000000000001,8.963462,20.7,14.9
0.048714,0.09,0.07300000000000001,17.528125,52.4,39.1
0.048236999999999,0.092,0.078,15.325234,52.4,34.300000000000004
0.048451,0.099,0.07300000000000001,12.055556,29.1,25.1
0.045083,0.111,0.07200000000000001,11.607207,43.2,22.7
0.043449999999999,0.075,0.069,12.112605,35.0,24.1
0.042113,0.07400000000000001,0.063,11.326316,30.5,23.0
0.045068,0.084,0.066,12.133645,42.1,23.7
0.048975,0.083,0.069,11.555932,29.2,25.1
0.048038,0.10300000000000001,0.077,13.939473999999999,39.1,25.5
0.044004,0.09,0.066,14.197458,39.0,29.1
0.057588,0.105,0.08199999999999999,13.709302,33.5,25.2
0.052062,0.109,0.083,11.5125,22.1,22.1
0.050518999999999,0.10400000000000001,0.084,10.416667,18.1,18.1
0.046042,0.08199999999999999,0.07200000000000001,12.409278,34.9,24.4
0.047319,0.08600000000000001,0.07300000000000001,12.630579,34.5,25.9
0.05339000000000002,0.111,0.077,13.872269,44.6,26.3
0.055293999999999004,0.093,0.081,13.571551999999999,33.7,25.6
0.054754,0.098,0.081,14.091071,38.3,31.5
0.046119,0.083,0.065,11.420588,31.1,20.6
0.036848,0.075,0.056,11.986844,62.1,24.2
0.043482,0.075,0.063,14.665918,68.2,26.7
0.043157999999999,0.07400000000000001,0.063,10.731858,36.2,21.4
0.041506,0.078,0.058,9.376068,21.5,17.2
