,asthma_death_per_100k,asthma_deaths_per_100k,county_name,fips,observed,state_name,year
150,1.494273727,,Bristol,25005,1,Massachusetts,1996
151,1.494273727,,Essex,25009,1,Massachusetts,1996
152,1.8974474030000001,,Hampden,25013,1,Massachusetts,1996
153,1.494273727,,Hampshire,25015,1,Massachusetts,1996
154,1.8974474030000001,,Middlesex,25017,1,Massachusetts,1996
155,1.494273727,,Plymouth,25023,1,Massachusetts,1996
156,2.3071614119999997,,Suffolk,25025,1,Massachusetts,1996
157,1.8974474030000001,,Worcester,25027,1,Massachusetts,1996
158,1.494273727,,Allegan,26005,1,Michigan,1996
159,1.494273727,,Benzie,26019,1,Michigan,1996
160,1.494273727,,Berrien,26021,1,Michigan,1996
161,1.494273727,,Cass,26027,1,Michigan,1996
162,1.494273727,,Clinton,26037,1,Michigan,1996
163,1.494273727,,Genesee,26049,1,Michigan,1996
164,1.494273727,,Huron,26063,1,Michigan,1996
165,1.494273727,,Ingham,26065,1,Michigan,1996
166,1.494273727,,Kalamazoo,26077,1,Michigan,1996
167,1.608529681,,Kent,26081,1,Michigan,1996
168,1.494273727,,Lenawee,26091,1,Michigan,1996
169,1.608529681,,Macomb,26099,1,Michigan,1996
170,1.494273727,,Mason,26105,1,Michigan,1996
171,1.494273727,,Mecosta,26107,1,Michigan,1996
172,1.494273727,,Muskegon,26121,1,Michigan,1996
173,1.494273727,,Oakland,26125,1,Michigan,1996
174,1.494273727,,Ottawa,26139,1,Michigan,1996
175,1.494273727,,Roscommon,26143,1,Michigan,1996
176,1.494273727,,Van Buren,26159,1,Michigan,1996
177,1.494273727,,Washtenaw,26161,1,Michigan,1996
178,1.996041459,,Wayne,26163,1,Michigan,1996
179,1.494273727,,Anoka,27003,1,Minnesota,1996
180,1.494273727,,Dakota,27037,1,Minnesota,1996
181,2.3071614119999997,,Hennepin,27053,1,Minnesota,1996
182,1.494273727,,Koochiching,27071,1,Minnesota,1996
183,1.494273727,,Lake,27075,1,Minnesota,1996
184,1.928621444,,Ramsey,27123,1,Minnesota,1996
185,1.8974474030000001,,Stearns,27145,1,Minnesota,1996
186,1.494273727,,Washington,27163,1,Minnesota,1996
187,1.494273727,,Wright,27171,1,Minnesota,1996
188,1.494273727,,Adams,28001,1,Mississippi,1996
189,1.675760589,,Choctaw,28019,1,Mississippi,1996
190,1.494273727,,DeSoto,28033,1,Mississippi,1996
191,1.494273727,,Hancock,28045,1,Mississippi,1996
192,1.494273727,,Hinds,28049,1,Mississippi,1996
193,1.494273727,,Jackson,28059,1,Mississippi,1996
194,1.494273727,,Lauderdale,28075,1,Mississippi,1996
195,1.494273727,,Lee,28081,1,Mississippi,1996
196,1.494273727,,Madison,28089,1,Mississippi,1996
197,1.494273727,,Sharkey,28125,1,Mississippi,1996
198,1.494273727,,Warren,28149,1,Mississippi,1996
199,1.849457527,,Clay,29047,1,Missouri,1996
200,1.608529681,,Greene,29077,1,Missouri,1996
201,1.8974474030000001,,Jackson,29095,1,Missouri,1996
202,1.494273727,,Jefferson,29099,1,Missouri,1996
203,1.494273727,,Monroe,29137,1,Missouri,1996
204,1.494273727,,Platte,29165,1,Missouri,1996
