,asthma_deaths_per_100k,county_name,fips,observed,state_name,year
139,1.9156006319999999,Calvert,24009,1,Maryland,1996
140,1.402673069,Carroll,24013,1,Maryland,1996
141,1.6379682740000001,Cecil,24015,1,Maryland,1996
142,1.9030708530000002,Charles,24017,1,Maryland,1996
143,1.5370987409999999,Harford,24025,1,Maryland,1996
144,1.96471126,Kent,24029,1,Maryland,1996
145,2.024455948,Montgomery,24031,1,Maryland,1996
146,2.024455948,Prince George's,24033,1,Maryland,1996
147,4.448648412,Baltimore (City),24510,1,Maryland,1996
148,1.431217966,Barnstable,25001,1,Massachusetts,1996
149,1.74246796,Berkshire,25003,1,Massachusetts,1996
150,1.712020448,Bristol,25005,1,Massachusetts,1996
151,1.975961586,Essex,25009,1,Massachusetts,1996
152,2.362242923,Hampden,25013,1,Massachusetts,1996
153,2.300357595,Hampshire,25015,1,Massachusetts,1996
154,1.726892055,Middlesex,25017,1,Massachusetts,1996
155,1.768382935,Plymouth,25023,1,Massachusetts,1996
156,2.600998447,Suffolk,25025,1,Massachusetts,1996
157,1.83268298,Worcester,25027,1,Massachusetts,1996
158,1.477942203,Allegan,26005,1,Michigan,1996
159,1.662451739,Benzie,26019,1,Michigan,1996
160,2.251670072,Berrien,26021,1,Michigan,1996
161,1.892408493,Cass,26027,1,Michigan,1996
162,1.404416565,Clinton,26037,1,Michigan,1996
163,2.4698500119999998,Genesee,26049,1,Michigan,1996
164,1.8448442269999998,Huron,26063,1,Michigan,1996
165,2.034424176,Ingham,26065,1,Michigan,1996
166,1.7309481169999998,Kalamazoo,26077,1,Michigan,1996
167,1.84529052,Kent,26081,1,Michigan,1996
168,1.887655224,Lenawee,26091,1,Michigan,1996
169,1.59917758,Macomb,26099,1,Michigan,1996
170,1.839254736,Mason,26105,1,Michigan,1996
171,1.630346015,Mecosta,26107,1,Michigan,1996
172,1.93189561,Muskegon,26121,1,Michigan,1996
173,1.6626829619999999,Oakland,26125,1,Michigan,1996
174,1.479106873,Ottawa,26139,1,Michigan,1996
175,2.186632653,Roscommon,26143,1,Michigan,1996
176,1.883062433,Van Buren,26159,1,Michigan,1996
177,1.928665769,Washtenaw,26161,1,Michigan,1996
178,2.971883052,Wayne,26163,1,Michigan,1996
179,2.091384866,Anoka,27003,1,Minnesota,1996
180,1.89276378,Dakota,27037,1,Minnesota,1996
181,2.082138692,Hennepin,27053,1,Minnesota,1996
182,2.142710896,Koochiching,27071,1,Minnesota,1996
183,2.269234516,Lake,27075,1,Minnesota,1996
184,2.141532464,Ramsey,27123,1,Minnesota,1996
185,2.067129764,Stearns,27145,1,Minnesota,1996
186,2.031720514,Washington,27163,1,Minnesota,1996
187,2.272629708,Wright,27171,1,Minnesota,1996
188,3.5344054189999996,Adams,28001,1,Mississippi,1996
189,2.9669708089999998,Choctaw,28019,1,Mississippi,1996
190,1.579886956,DeSoto,28033,1,Mississippi,1996
191,1.702680916,Hancock,28045,1,Mississippi,1996
192,2.599984802,Hinds,28049,1,Mississippi,1996
193,1.632550519,Jackson,28059,1,Mississippi,1996
194,2.078323638,Lauderdale,28075,1,Mississippi,1996
195,1.752111774,Lee,28081,1,Mississippi,1996
196,2.269348591,Madison,28089,1,Mississippi,1996
197,4.033707044,Sharkey,28125,1,Mississippi,1996
198,2.684058753,Warren,28149,1,Mississippi,1996
199,1.841702516,Clay,29047,1,Missouri,1996
200,1.775026688,Greene,29077,1,Missouri,1996
201,2.261595592,Jackson,29095,1,Missouri,1996
202,1.23442707,Jefferson,29099,1,Missouri,1996
203,2.28053058,Monroe,29137,1,Missouri,1996
204,1.5919318169999999,Platte,29165,1,Missouri,1996
205,1.458753182,Taney,29213,1,Missouri,1996
206,3.153525021,Cascade,30013,1,Montana,1996
207,2.233870466,Flathead,30029,1,Montana,1996
208,2.3883742999999997,Missoula,30063,1,Montana,1996
209,2.858985244,Rosebud,30087,1,Montana,1996
210,2.351042945,Yellowstone,30111,1,Montana,1996
211,3.523911388,Douglas,31055,1,Nebraska,1996
212,2.628484005,Lancaster,31109,1,Nebraska,1996
213,2.151150337,Clark,32003,1,Nevada,1996
214,1.9210403180000002,Douglas,32005,1,Nevada,1996
215,2.184882241,Washoe,32031,1,Nevada,1996
216,2.558451905,White Pine,32033,1,Nevada,1996
217,2.238076039,Belknap,33001,1,New Hampshire,1996
218,1.648143795,Carroll,33003,1,New Hampshire,1996
219,1.938892096,Cheshire,33005,1,New Hampshire,1996
220,1.94163171,Coos,33007,1,New Hampshire,1996
221,1.836748794,Grafton,33009,1,New Hampshire,1996
222,1.7934845080000001,Hillsborough,33011,1,New Hampshire,1996
223,2.140180735,Merrimack,33013,1,New Hampshire,1996
224,1.385456531,Rockingham,33015,1,New Hampshire,1996
225,1.614488954,Strafford,33017,1,New Hampshire,1996
226,1.992784942,Sullivan,33019,1,New Hampshire,1996
227,2.0111289169999997,Atlantic,34001,1,New Jersey,1996
228,1.269063618,Bergen,34003,1,New Jersey,1996
229,1.52897079,Burlington,34005,1,New Jersey,1996
230,1.840627183,Camden,34007,1,New Jersey,1996
231,2.196910811,Cumberland,34011,1,New Jersey,1996
232,3.1545718810000003,Essex,34013,1,New Jersey,1996
233,1.413655925,Gloucester,34015,1,New Jersey,1996
234,2.283985396,Hudson,34017,1,New Jersey,1996
235,1.334151104,Hunterdon,34019,1,New Jersey,1996
236,1.9166318580000001,Mercer,34021,1,New Jersey,1996
237,1.575966259,Middlesex,34023,1,New Jersey,1996
238,1.53369413,Monmouth,34025,1,New Jersey,1996
239,1.2123973140000002,Morris,34027,1,New Jersey,1996
240,1.1451734679999999,Ocean,34029,1,New Jersey,1996
241,2.101811143,Union,34039,1,New Jersey,1996
242,2.567779205,Bernalillo,35001,1,New Mexico,1996
243,2.563936715,Dona Ana,35013,1,New Mexico,1996
244,2.8284536289999997,Eddy,35015,1,New Mexico,1996
245,2.649796523,Sandoval,35043,1,New Mexico,1996
246,2.883402875,San Juan,35045,1,New Mexico,1996
247,2.5688317130000002,Santa Fe,35049,1,New Mexico,1996
248,3.0577591660000003,Valencia,35061,1,New Mexico,1996
249,1.62986205,Albany,36001,1,New York,1996
250,6.6926633529999995,Bronx,36005,1,New York,1996
251,1.9660659230000002,Chautauqua,36013,1,New York,1996
252,1.633280405,Chemung,36015,1,New York,1996
253,1.807326409,Dutchess,36027,1,New York,1996
254,1.810198496,Erie,36029,1,New York,1996
255,2.090541511,Essex,36031,1,New York,1996
256,1.924841381,Hamilton,36041,1,New York,1996
257,1.9340567730000002,Herkimer,36043,1,New York,1996
258,1.599756229,Jefferson,36045,1,New York,1996
259,4.018450093999999,Kings,36047,1,New York,1996
260,1.564869335,Madison,36053,1,New York,1996
261,1.552316995,Monroe,36055,1,New York,1996
262,1.474666461,Nassau,36059,1,New York,1996
263,4.055342973999999,New York,36061,1,New York,1996
264,1.6360551730000001,Niagara,36063,1,New York,1996
265,1.9319612259999999,Oneida,36065,1,New York,1996
266,1.6518708830000002,Onondaga,36067,1,New York,1996
267,2.222603529,Orange,36071,1,New York,1996
268,1.4546977380000001,Putnam,36079,1,New York,1996
269,2.233360214,Queens,36081,1,New York,1996
270,1.8221474069999999,Richmond,36085,1,New York,1996
271,1.6429107569999999,Saratoga,36091,1,New York,1996
272,1.5594797569999999,Schenectady,36093,1,New York,1996
273,1.766177284,Suffolk,36103,1,New York,1996
274,2.162755662,Ulster,36111,1,New York,1996
275,1.559893159,Wayne,36117,1,New York,1996
276,1.683614397,Westchester,36119,1,New York,1996
277,1.906889176,Alexander,37003,1,North Carolina,1996
278,1.975914131,Buncombe,37021,1,North Carolina,1996
279,2.85997071,Caswell,37033,1,North Carolina,1996
280,2.030925517,Chatham,37037,1,North Carolina,1996
281,3.0437281819999997,Cumberland,37051,1,North Carolina,1996
282,1.486560528,Davie,37059,1,North Carolina,1996
283,2.433896145,Duplin,37061,1,North Carolina,1996
284,2.64239535,Durham,37063,1,North Carolina,1996
285,3.5002462939999996,Edgecombe,37065,1,North Carolina,1996
286,1.92048143,Forsyth,37067,1,North Carolina,1996
287,2.42098495,Franklin,37069,1,North Carolina,1996
288,1.940197833,Gaston,37071,1,North Carolina,1996
289,3.10468115,Granville,37077,1,North Carolina,1996
290,2.216795744,Guilford,37081,1,North Carolina,1996
291,1.9439432540000001,Haywood,37087,1,North Carolina,1996
292,2.043848702,Johnston,37101,1,North Carolina,1996
293,2.031040214,Lincoln,37109,1,North Carolina,1996
294,2.062043563,Mecklenburg,37119,1,North Carolina,1996
295,2.473133016,New Hanover,37129,1,North Carolina,1996
296,1.819976955,Orange,37135,1,North Carolina,1996
297,3.3693000360000003,Pitt,37147,1,North Carolina,1996
298,2.8738983989999998,Rockingham,37157,1,North Carolina,1996
299,1.917596906,Rowan,37159,1,North Carolina,1996
300,2.40705883,Swain,37173,1,North Carolina,1996
301,1.824824803,Wake,37183,1,North Carolina,1996
302,2.364383095,Yancey,37199,1,North Carolina,1996
303,2.244741686,Cass,38017,1,North Dakota,1996
304,2.612132711,McKenzie,38053,1,North Dakota,1996
305,2.589534778,Mercer,38057,1,North Dakota,1996
306,2.170033783,Oliver,38065,1,North Dakota,1996
307,1.970252525,Steele,38091,1,North Dakota,1996
308,2.29010616,Allen,39003,1,Ohio,1996
309,1.548576873,Ashtabula,39007,1,Ohio,1996
310,2.064847876,Butler,39017,1,Ohio,1996
311,2.170650087,Clark,39023,1,Ohio,1996
312,2.025893181,Clermont,39025,1,Ohio,1996
313,2.076205072,Clinton,39027,1,Ohio,1996
314,2.205821254,Columbiana,39029,1,Ohio,1996
315,2.162808416,Cuyahoga,39035,1,Ohio,1996
316,1.9624010319999998,Franklin,39049,1,Ohio,1996
317,2.561482583,Hamilton,39061,1,Ohio,1996
318,2.144008227,Jefferson,39081,1,Ohio,1996
319,1.624706966,Knox,39083,1,Ohio,1996
320,1.488635081,Lake,39085,1,Ohio,1996
321,2.308744185,Lawrence,39087,1,Ohio,1996
322,1.8781274909999999,Licking,39089,1,Ohio,1996
323,1.891396057,Logan,39091,1,Ohio,1996
324,1.938516359,Lorain,39093,1,Ohio,1996
325,2.30282089,Lucas,39095,1,Ohio,1996
326,2.040879794,Madison,39097,1,Ohio,1996
327,1.919399364,Mahoning,39099,1,Ohio,1996
328,1.1905914579999999,Medina,39103,1,Ohio,1996
329,1.653537414,Miami,39109,1,Ohio,1996
330,2.352106334,Montgomery,39113,1,Ohio,1996
331,1.360999771,Portage,39133,1,Ohio,1996
332,1.876475616,Preble,39135,1,Ohio,1996
333,1.8522507540000002,Stark,39151,1,Ohio,1996
334,1.7439856580000002,Summit,39153,1,Ohio,1996
335,1.736274576,Trumbull,39155,1,Ohio,1996
336,1.8741431730000002,Warren,39165,1,Ohio,1996
337,1.491599189,Washington,39167,1,Ohio,1996
338,1.7280347969999998,Cleveland,40027,1,Oklahoma,1996
339,2.481394037,Comanche,40031,1,Oklahoma,1996
340,2.210572892,Garfield,40047,1,Oklahoma,1996
341,1.7430029009999999,McClain,40087,1,Oklahoma,1996
342,3.0018104169999997,Muskogee,40101,1,Oklahoma,1996
343,2.349522097,Oklahoma,40109,1,Oklahoma,1996
344,2.112949637,Tulsa,40143,1,Oklahoma,1996
345,2.63375273,Clackamas,41005,1,Oregon,1996
346,2.660169094,Columbia,41009,1,Oregon,1996
347,2.5266063780000003,Deschutes,41017,1,Oregon,1996
348,2.8099488089999998,Jackson,41029,1,Oregon,1996
349,2.841203648,Josephine,41033,1,Oregon,1996
350,3.947896788,Klamath,41035,1,Oregon,1996
351,2.9037381960000004,Lane,41039,1,Oregon,1996
352,2.588885764,Marion,41047,1,Oregon,1996
353,2.982341738,Multnomah,41051,1,Oregon,1996
354,1.5985580769999999,Allegheny,42003,1,Pennsylvania,1996
355,1.9075435969999999,Beaver,42007,1,Pennsylvania,1996
356,2.612535355,Berks,42011,1,Pennsylvania,1996
357,1.455078775,Blair,42013,1,Pennsylvania,1996
358,1.4345719369999999,Bucks,42017,1,Pennsylvania,1996
359,1.4062756090000001,Cambria,42021,1,Pennsylvania,1996
360,1.502952985,Centre,42027,1,Pennsylvania,1996
361,1.624491631,Clearfield,42033,1,Pennsylvania,1996
362,1.5844944490000001,Dauphin,42043,1,Pennsylvania,1996
363,1.519646539,Delaware,42045,1,Pennsylvania,1996
364,1.4833465819999998,Erie,42049,1,Pennsylvania,1996
365,1.569197951,Franklin,42055,1,Pennsylvania,1996
366,1.934970595,Lackawanna,42069,1,Pennsylvania,1996
367,1.3571328409999999,Lancaster,42071,1,Pennsylvania,1996
368,1.5592301469999998,Lawrence,42073,1,Pennsylvania,1996
369,1.502256854,Lehigh,42077,1,Pennsylvania,1996
370,1.953391946,Luzerne,42079,1,Pennsylvania,1996
371,2.441334725,Lycoming,42081,1,Pennsylvania,1996
372,1.8370828000000001,Mercer,42085,1,Pennsylvania,1996
373,1.3593831790000002,Montgomery,42091,1,Pennsylvania,1996
